State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Tripura,Dhalai,"Kulai APMC","Bitter gourd","Bitter Gourd","Grade B",06/09/2026,8500,9000,8800
Keralam,Kozhikode(Calicut),"Mukkom Market",Tomato,Tomato,FAQ,06/09/2026,2000,2300,2100
Keralam,Kozhikode(Calicut),"Mukkom Market",Potato,Potato,FAQ,06/09/2026,2400,2800,2600
Keralam,Kozhikode(Calicut),"Mukkom Market",Drumstick,Drumstick,FAQ,06/09/2026,4200,4600,4400
Keralam,Kozhikode(Calicut),"Mukkom Market",Apple,Other,Large,06/09/2026,18000,19000,18500
"Uttar Pradesh",Banda,"Banda APMC",Wood,Other,FAQ,06/09/2026,600,600,600
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA",Potato,Potato,"Grade A",06/09/2026,1700,1700,1700
Telangana,Hyderabad,"RYTHU BAZAR FALAKNUMA","Leafy Vegetable","Leafy Vegetables","Grade A",06/09/2026,3000,3000,3000
Odisha,Rayagada,"Gunpur APMC",Brinjal,Round,FAQ,06/09/2026,6460,7080,6860
Odisha,Rayagada,"Gunpur APMC",Cauliflower,Cauliflower,Local,06/09/2026,6800,8200,7400
Odisha,Rayagada,"Gunpur APMC",Carrot,Carrot,FAQ,06/09/2026,7040,7800,7240
Punjab,Gurdaspur,"Quadian APMC",Banana,Other,"Grade A",06/09/2026,2300,2500,2400
Punjab,Gurdaspur,"Quadian APMC",Cabbage,Other,"Grade A",06/09/2026,1300,1500,1400
Punjab,Gurdaspur,"Quadian APMC",Ginger(Green),Other,"Grade A",06/09/2026,7800,8000,7900
Punjab,Gurdaspur,"Quadian APMC","Bhindi(Ladies Finger)",Other,"Grade A",06/09/2026,3800,4000,3900
Punjab,Gurdaspur,"Quadian APMC",Tomato,Other,"Grade A",06/09/2026,3300,3500,3400
Keralam,Kollam,"Anchal Market",Beetroot,Beetroot,Local,06/09/2026,3800,3800,3800
Keralam,Kollam,"Anchal Market","Bitter gourd","Bitter Gourd",Local,06/09/2026,7500,7500,7500
Keralam,Kollam,"Anchal Market","Bottle gourd","Bottle Gourd",Local,06/09/2026,2700,2700,2700
Keralam,Kollam,"Anchal Market",Cabbage,Cabbage,Medium,06/09/2026,6500,6500,6500
Keralam,Kollam,"Anchal Market",Banana,"Nendra Bale",Medium,06/09/2026,7600,7600,7600
Keralam,Kollam,"Anchal Market",Banana,"Red Banana",Medium,06/09/2026,7300,7300,7300
Keralam,Kollam,"Anchal Market",Tapioca,Other,Local,06/09/2026,3400,3400,3400
Keralam,Kollam,"Anchal Market",Tomato,Tomato,Local,06/09/2026,4400,4400,4400
